Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
Before joining CNCF,1/6/2014,5/9/2016,53.9%,62.8%,71.0%,74.8%,78.4%,86.2%,87.9%,88.5%,88.9%,89.2%,90.1%,91.5%,92.3%,92.3%,92.3%
Since joining CNCF,5/9/2016,4/13/2018,20.2%,37.9%,52.0%,56.7%,60.2%,69.3%,71.8%,72.8%,73.3%,73.8%,75.1%,76.6%,78.1%,79.1%,79.1%
