Release,Date from,Date to,Distinct companies for top 1 contributors,Distinct companies for top 2 contributors,Distinct companies for top 3 contributors,Distinct companies for top 5 contributors,Distinct companies for top 10 contributors,Distinct companies for top 15 contributors,Distinct companies for top 20 contributors,Distinct companies for top 25 contributors,Distinct companies for top 30 contributors,Distinct companies for top 50 contributors,Distinct companies for top 100 contributors,Distinct companies for top 200 contributors,Distinct companies for top 500 contributors,Distinct companies for top 1000 contributors
2014-01-01,2014-01-01,2014-02-01,1,1,2,3,6,8,9,11,13,13,13,13,13,13
2014-02-01,2014-02-01,2014-03-01,1,2,2,2,5,8,10,11,12,13,13,13,13,13
2014-03-01,2014-03-01,2014-04-01,1,2,2,3,6,8,10,11,11,17,17,17,17,17
2014-04-01,2014-04-01,2014-05-01,1,2,2,3,5,7,7,10,14,19,19,19,19,19
2014-05-01,2014-05-01,2014-06-01,1,2,2,2,5,8,8,10,12,17,17,17,17,17
2014-06-01,2014-06-01,2014-07-01,1,1,2,3,5,5,8,8,9,17,32,32,32,32
2014-07-01,2014-07-01,2014-08-01,1,1,2,2,4,5,6,9,10,15,29,37,37,37
2014-08-01,2014-08-01,2014-09-01,1,1,2,2,4,4,4,5,6,11,29,44,44,44
2014-09-01,2014-09-01,2014-10-01,1,1,1,2,3,4,6,7,8,13,24,38,38,38
2014-10-01,2014-10-01,2014-11-01,1,1,1,1,3,4,5,6,7,14,30,44,44,44
2014-11-01,2014-11-01,2014-12-01,1,1,1,1,2,4,6,6,7,13,31,55,55,55
2014-12-01,2014-12-01,2015-01-01,1,1,2,2,4,4,5,8,8,13,29,54,65,65
2015-01-01,2015-01-01,2015-02-01,1,2,2,2,3,4,6,7,9,13,32,58,65,65
2015-02-01,2015-02-01,2015-03-01,1,2,2,2,4,6,8,8,8,10,23,50,77,77
2015-03-01,2015-03-01,2015-04-01,1,1,2,2,4,4,4,5,5,7,17,52,97,97
2015-04-01,2015-04-01,2015-05-01,1,2,2,2,3,4,5,6,6,9,18,51,96,96
2015-05-01,2015-05-01,2015-06-01,1,2,3,3,3,3,4,4,6,9,19,56,119,119
2015-06-01,2015-06-01,2015-07-01,1,2,2,2,3,3,5,6,9,12,18,57,116,116
2015-07-01,2015-07-01,2015-08-01,1,1,1,2,4,4,4,4,5,8,21,47,131,131
2015-08-01,2015-08-01,2015-09-01,1,2,2,2,3,3,4,6,7,9,18,53,139,155
2015-09-01,2015-09-01,2015-10-01,1,2,2,2,4,4,4,4,7,11,16,51,127,144
2015-10-01,2015-10-01,2015-11-01,1,2,2,3,4,5,7,7,8,12,19,40,125,137
2015-11-01,2015-11-01,2015-12-01,1,2,2,3,4,8,9,9,9,12,19,45,131,144
2015-12-01,2015-12-01,2016-01-01,1,1,1,2,4,7,8,9,10,13,19,48,123,140
2016-01-01,2016-01-01,2016-02-01,1,1,2,3,4,6,8,9,11,13,24,50,130,154
2016-02-01,2016-02-01,2016-03-01,1,1,1,1,4,6,7,9,9,12,23,41,105,158
2016-03-01,2016-03-01,2016-04-01,1,1,2,2,4,5,7,7,10,15,23,51,126,191
2016-04-01,2016-04-01,2016-05-01,1,1,2,3,6,9,9,10,11,12,21,54,122,188
2016-05-01,2016-05-01,2016-06-01,1,2,3,3,4,5,8,10,11,14,23,51,131,232
2016-06-01,2016-06-01,2016-07-01,1,2,3,3,5,5,6,6,8,13,20,43,114,207
2016-07-01,2016-07-01,2016-08-01,1,2,2,4,7,10,12,13,13,19,24,44,113,215
2016-08-01,2016-08-01,2016-09-01,1,2,3,5,6,6,7,8,9,14,24,45,106,197
2016-09-01,2016-09-01,2016-10-01,1,2,2,3,3,6,9,10,12,15,24,41,119,228
2016-10-01,2016-10-01,2016-11-01,1,2,3,3,6,7,9,10,12,16,25,50,123,229
2016-11-01,2016-11-01,2016-12-01,1,1,2,3,5,8,10,12,12,19,29,45,117,226
2016-12-01,2016-12-01,2017-01-01,1,2,2,4,8,9,11,13,13,18,28,47,136,260
2017-01-01,2017-01-01,2017-02-01,1,2,2,3,7,10,11,13,13,19,25,48,142,257
2017-02-01,2017-02-01,2017-03-01,1,2,3,3,5,9,11,13,14,23,33,56,140,256
2017-03-01,2017-03-01,2017-04-01,1,2,2,4,7,8,12,13,15,21,29,51,135,249
2017-04-01,2017-04-01,2017-05-01,1,2,3,4,7,10,14,15,17,21,32,53,133,240
2017-05-01,2017-05-01,2017-06-01,1,1,1,3,6,8,10,12,15,22,36,53,134,242
2017-06-01,2017-06-01,2017-07-01,1,1,2,4,6,6,8,11,13,19,28,51,129,246
2017-07-01,2017-07-01,2017-08-01,1,2,2,3,5,9,12,14,15,20,35,55,148,259
2017-08-01,2017-08-01,2017-09-01,1,1,2,3,4,7,12,15,16,22,34,55,137,242
2017-09-01,2017-09-01,2017-10-01,1,1,2,2,5,7,8,10,13,22,35,53,134,247
2017-10-01,2017-10-01,2017-11-01,0,1,2,4,8,11,13,15,18,24,39,54,129,243
2017-11-01,2017-11-01,2017-12-01,1,2,3,5,8,10,11,15,18,25,37,55,133,232
2017-12-01,2017-12-01,2018-01-01,1,2,3,5,8,11,12,14,17,26,40,59,131,215
2018-01-01,2018-01-01,2018-02-01,1,2,3,5,8,11,13,15,18,26,38,51,117,197
2018-02-01,2018-02-01,2018-03-01,1,2,3,5,8,11,14,15,16,22,34,52,111,180
2018-03-01,2018-03-01,2018-04-01,1,1,2,4,7,10,11,14,15,22,34,58,106,177
2018-04-01,2018-04-01,2018-05-01,1,2,3,4,8,10,12,13,17,24,36,60,101,159
