release,n_top_contributing_coms 1,n_top_contributing_coms 2,n_top_contributing_coms 3,n_top_contributing_coms 5,n_top_contributing_coms 10,n_top_contributing_coms 15,n_top_contributing_coms 20,n_top_contributing_coms 25,n_top_contributing_coms 30,n_top_contributing_coms 50,n_top_contributing_coms 100,n_top_contributing_coms 200,n_top_contributing_coms 500,n_top_contributing_coms 1000
start - v1.0.0,1,1,1,2,2,3,3,5,5,7,20,56,137,232
v1.0.0 - v1.1.0,1,1,1,1,1,2,3,4,4,9,25,69,149,158
v1.1.0 - v1.2.0,1,1,1,1,1,2,4,4,4,6,20,46,145,256
v1.2.0 - v1.3.0,1,1,2,3,4,4,5,6,7,7,23,52,133,257
v1.3.0 - v1.4.0,1,2,2,2,3,3,3,4,5,9,16,40,120,244
v1.4.0 - v1.5.0,1,2,3,3,5,5,6,7,8,9,18,41,139,288
v1.5.0 - v1.6.0,1,2,2,3,6,7,7,7,8,14,22,48,165,312
v1.6.0 - v1.7.0,1,2,2,3,5,6,7,9,10,14,29,52,156,303
v1.7.0 - v1.8.0,1,1,2,2,4,7,8,11,13,19,31,49,151,295
v1.8.0 - v1.9.0,1,1,1,3,8,9,11,12,14,18,26,44,131,251
v1.9.0 - v1.10.0,1,2,3,5,6,10,11,13,16,21,30,45,112,211
v1.10.0 - now,1,2,3,5,8,9,11,13,14,20,35,52,99,130
