Release,Date from,Date to,Top 1 companies commits as percent of all,Top 2 companies commits as percent of all,Top 3 companies commits as percent of all,Top 4 companies commits as percent of all,Top 5 companies commits as percent of all,Top 10 companies commits as percent of all,Top 15 companies commits as percent of all,Top 20 companies commits as percent of all,Top 25 companies commits as percent of all,Top 30 companies commits as percent of all,Top 50 companies commits as percent of all,Top 100 companies commits as percent of all,Top 200 companies commits as percent of all,Top 500 companies commits as percent of all,Top 1000 companies commits as percent of all
Before joining CNCF,1/2/2014,11/8/2016,86.5%,92.4%,93.9%,94.9%,95.6%,98.4%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%
Since joining CNCF,11/8/2016,4/17/2018,90.4%,96.6%,97.1%,97.4%,97.6%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%
