Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
Quarter from 10/2016,10/1/2016,1/1/2017,48.5%,49.0%,49.4%,49.9%,50.1%,50.1%,50.1%,50.1%,50.1%,50.1%,50.1%,50.1%,50.1%,50.1%,50.1%
Quarter from 01/2017,1/1/2017,4/1/2017,61.3%,67.0%,68.6%,68.8%,69.0%,69.2%,69.2%,69.2%,69.2%,69.2%,69.2%,69.2%,69.2%,69.2%,69.2%
Quarter from 04/2017,4/1/2017,7/1/2017,50.4%,52.4%,53.6%,54.4%,54.8%,55.9%,56.0%,56.0%,56.0%,56.0%,56.0%,56.0%,56.0%,56.0%,56.0%
Quarter from 07/2017,7/1/2017,10/1/2017,41.9%,46.6%,48.7%,49.4%,49.7%,50.3%,50.3%,50.3%,50.3%,50.3%,50.3%,50.3%,50.3%,50.3%,50.3%
Quarter from 10/2017,10/1/2017,1/1/2018,49.6%,56.9%,59.8%,60.9%,61.5%,62.8%,63.1%,63.1%,63.1%,63.1%,63.1%,63.1%,63.1%,63.1%,63.1%
Quarter from 01/2018,1/1/2018,4/1/2018,47.1%,50.5%,53.8%,55.4%,56.8%,59.6%,59.9%,59.9%,59.9%,59.9%,59.9%,59.9%,59.9%,59.9%,59.9%
