Release,Date from,Date to,Distinct companies for top 1 committers,Distinct companies for top 2 committers,Distinct companies for top 3 committers,Distinct companies for top 4 committers,Distinct companies for top 5 committers,Distinct companies for top 10 committers,Distinct companies for top 15 committers,Distinct companies for top 20 committers,Distinct companies for top 25 committers,Distinct companies for top 30 committers,Distinct companies for top 50 committers,Distinct companies for top 100 committers,Distinct companies for top 200 committers,Distinct companies for top 500 committers,Distinct companies for top 1000 committers
Before joining CNCF,1/2/2014,2/5/2018,1,1,2,2,2,2,2,2,2,3,5,5,5,5,5
Since joining CNCF,2/5/2018,4/17/2018,1,2,3,3,3,4,4,4,4,4,4,4,4,4,4
2014,1/2/2014,1/1/2015,1,1,2,2,2,2,3,3,4,4,5,5,5,5,5
2015,1/1/2015,1/1/2016,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,1/1/2016,1/1/2017,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2017,1/1/2017,1/1/2018,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,1/1/2018,4/17/2018,1,1,2,3,3,4,4,4,4,4,4,4,4,4,4
01/2014,1/1/2014,2/1/2014,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
02/2014,2/1/2014,3/1/2014,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
03/2014,3/1/2014,4/1/2014,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
04/2014,4/1/2014,5/1/2014,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
05/2014,5/1/2014,6/1/2014,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
06/2014,6/1/2014,7/1/2014,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
07/2014,7/1/2014,8/1/2014,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
08/2014,8/1/2014,9/1/2014,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
09/2014,9/1/2014,10/1/2014,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3
10/2014,10/1/2014,11/1/2014,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
11/2014,11/1/2014,12/1/2014,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
12/2014,12/1/2014,1/1/2015,1,2,2,2,2,3,4,4,4,4,4,4,4,4,4
01/2015,1/1/2015,2/1/2015,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
02/2015,2/1/2015,3/1/2015,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
