Release,Date from,Date to,Distinct companies for top 1 contributors,Distinct companies for top 2 contributors,Distinct companies for top 3 contributors,Distinct companies for top 4 contributors,Distinct companies for top 5 contributors,Distinct companies for top 10 contributors,Distinct companies for top 15 contributors,Distinct companies for top 20 contributors,Distinct companies for top 25 contributors,Distinct companies for top 30 contributors,Distinct companies for top 50 contributors,Distinct companies for top 100 contributors,Distinct companies for top 200 contributors,Distinct companies for top 500 contributors,Distinct companies for top 1000 contributors
Before joining CNCF,6/22/2015,10/24/2017,1,1,1,1,2,4,4,5,6,6,10,15,19,19,19
Since joining CNCF,10/24/2017,4/17/2018,1,1,1,1,2,3,6,6,6,6,6,6,6,6,6
2015,6/22/2015,1/1/2016,1,1,1,1,1,3,5,5,5,6,7,7,7,7,7
2016,1/1/2016,1/1/2017,1,1,1,1,2,3,3,4,6,6,12,12,12,12,12
2017,1/1/2017,1/1/2018,1,1,1,2,2,3,5,6,6,7,9,9,9,9,9
2018,1/1/2018,4/17/2018,1,1,1,2,2,2,4,4,4,4,4,4,4,4,4
06/2015,6/1/2015,7/1/2015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
07/2015,7/1/2015,8/1/2015,1,1,1,1,1,3,4,4,4,4,4,4,4,4,4
08/2015,8/1/2015,9/1/2015,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
09/2015,9/1/2015,10/1/2015,1,1,1,2,2,5,5,5,5,5,5,5,5,5,5
10/2015,10/1/2015,11/1/2015,1,1,1,2,3,4,4,4,4,4,4,4,4,4,4
11/2015,11/1/2015,12/1/2015,1,1,1,2,3,4,4,4,4,4,4,4,4,4,4
12/2015,12/1/2015,1/1/2016,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4
01/2016,1/1/2016,2/1/2016,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4
02/2016,2/1/2016,3/1/2016,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3
03/2016,3/1/2016,4/1/2016,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3
04/2016,4/1/2016,5/1/2016,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
05/2016,5/1/2016,6/1/2016,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3
06/2016,6/1/2016,7/1/2016,1,1,1,2,2,3,4,4,4,4,4,4,4,4,4
07/2016,7/1/2016,8/1/2016,1,1,1,2,2,2,4,4,4,4,4,4,4,4,4
08/2016,8/1/2016,9/1/2016,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3
09/2016,9/1/2016,10/1/2016,1,1,1,2,2,3,4,4,4,4,4,4,4,4,4
10/2016,10/1/2016,11/1/2016,1,1,2,2,2,5,5,5,5,5,5,5,5,5,5
11/2016,11/1/2016,12/1/2016,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
12/2016,12/1/2016,1/1/2017,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2
01/2017,1/1/2017,2/1/2017,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3
02/2017,2/1/2017,3/1/2017,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3
03/2017,3/1/2017,4/1/2017,1,1,2,2,2,4,4,4,4,4,4,4,4,4,4
04/2017,4/1/2017,5/1/2017,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3
05/2017,5/1/2017,6/1/2017,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3
06/2017,6/1/2017,7/1/2017,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
07/2017,7/1/2017,8/1/2017,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3
08/2017,8/1/2017,9/1/2017,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3
09/2017,9/1/2017,10/1/2017,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
10/2017,10/1/2017,11/1/2017,1,1,1,2,2,4,5,5,5,5,5,5,5,5,5
11/2017,11/1/2017,12/1/2017,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
