Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
2016,11/1/2016,1/1/2017,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%
2017,1/1/2017,1/1/2018,58.8%,63.1%,63.6%,64.0%,64.3%,65.2%,65.4%,65.5%,65.6%,65.6%,65.6%,65.6%,65.6%,65.6%,65.6%
2018,1/1/2018,4/17/2018,59.7%,69.5%,70.5%,71.2%,71.5%,72.3%,72.6%,72.7%,72.7%,72.7%,72.7%,72.7%,72.7%,72.7%,72.7%
