Release,Date from,Date to,Top 1 developers commits as percent of all,Top 2 developers commits as percent of all,Top 3 developers commits as percent of all,Top 4 developers commits as percent of all,Top 5 developers commits as percent of all,Top 10 developers commits as percent of all,Top 15 developers commits as percent of all,Top 20 developers commits as percent of all,Top 25 developers commits as percent of all,Top 30 developers commits as percent of all,Top 50 developers commits as percent of all,Top 100 developers commits as percent of all,Top 200 developers commits as percent of all,Top 500 developers commits as percent of all,Top 1000 developers commits as percent of all
Before joining CNCF,6/1/2014,3/10/2016,10.2%,16.9%,22.0%,26.2%,29.8%,43.4%,53.7%,61.3%,67.5%,72.3%,85.4%,96.5%,99.3%,100.0%,100.0%
Since joining CNCF,3/10/2016,4/23/2018,8.1%,10.9%,13.7%,16.2%,18.4%,26.6%,33.9%,40.6%,46.5%,51.4%,67.0%,87.0%,98.0%,100.0%,100.0%
