Release,Date from,Date to,Distinct companies for top 1 contributors,Distinct companies for top 2 contributors,Distinct companies for top 3 contributors,Distinct companies for top 4 contributors,Distinct companies for top 5 contributors,Distinct companies for top 10 contributors,Distinct companies for top 15 contributors,Distinct companies for top 20 contributors,Distinct companies for top 25 contributors,Distinct companies for top 30 contributors,Distinct companies for top 50 contributors,Distinct companies for top 100 contributors,Distinct companies for top 200 contributors,Distinct companies for top 500 contributors,Distinct companies for top 1000 contributors
2016,3/18/2016,1/1/2017,1,2,3,3,3,5,7,9,9,11,17,17,17,17,17
2017,1/1/2017,1/1/2018,1,2,2,2,3,7,9,11,11,12,19,32,34,34,34
2018,1/1/2018,4/17/2018,1,2,2,2,2,3,4,5,6,7,11,11,11,11,11
