Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
Before joining CNCF,1/2/2014,3/15/2018,81.8%,85.3%,85.5%,85.7%,85.8%,86.0%,86.1%,86.2%,86.2%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%
Since joining CNCF,3/15/2018,4/17/2018,89.2%,90.5%,90.8%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%
