Release,Date from,Date to,Top 1 committing companies,Top 2 committing companies,Top 3 committing companies,Top 4 committing companies,Top 5 committing companies,Top 10 committing companies,Top 15 committing companies,Top 20 committing companies,Top 25 committing companies,Top 30 committing companies,Top 50 committing companies,Top 100 committing companies,Top 200 committing companies,Top 500 committing companies,Top 1000 committing companies
06/2017,6/1/2017,7/1/2017,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU
07/2017,7/1/2017,8/1/2017,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU
08/2017,8/1/2017,9/1/2017,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU
09/2017,9/1/2017,10/1/2017,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU
10/2017,10/1/2017,11/1/2017,NYU,"NYU,CNCF","NYU,CNCF","NYU,CNCF","NYU,CNCF","NYU,CNCF","NYU,CNCF","NYU,CNCF","NYU,CNCF","NYU,CNCF","NYU,CNCF","NYU,CNCF","NYU,CNCF","NYU,CNCF","NYU,CNCF"
11/2017,11/1/2017,12/1/2017,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU
12/2017,12/1/2017,1/1/2018,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU
01/2018,1/1/2018,2/1/2018,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU
02/2018,2/1/2018,3/1/2018,NYU,"NYU,Docker","NYU,Docker","NYU,Docker","NYU,Docker","NYU,Docker","NYU,Docker","NYU,Docker","NYU,Docker","NYU,Docker","NYU,Docker","NYU,Docker","NYU,Docker","NYU,Docker","NYU,Docker"
03/2018,3/1/2018,4/1/2018,NYU,"NYU,Huawei","NYU,Huawei","NYU,Huawei","NYU,Huawei","NYU,Huawei","NYU,Huawei","NYU,Huawei","NYU,Huawei","NYU,Huawei","NYU,Huawei","NYU,Huawei","NYU,Huawei","NYU,Huawei","NYU,Huawei"
04/2018,4/1/2018,5/1/2018,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU
