Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
2016,9/14/2016,1/1/2017,70.8%,72.1%,73.0%,73.1%,73.2%,73.3%,73.3%,73.3%,73.3%,73.3%,73.3%,73.3%,73.3%,73.3%,73.3%
2017,1/1/2017,1/1/2018,63.6%,82.9%,84.1%,85.1%,85.7%,87.4%,87.7%,87.9%,87.9%,88.0%,88.0%,88.0%,88.0%,88.0%,88.0%
2018,1/1/2018,4/17/2018,39.2%,70.0%,73.6%,76.0%,78.0%,80.6%,81.4%,81.8%,82.0%,82.1%,82.2%,82.2%,82.2%,82.2%,82.2%
