Release,Date from,Date to,Top 1 committers commits as percent of all,Top 2 committers commits as percent of all,Top 3 committers commits as percent of all,Top 5 committers commits as percent of all,Top 10 committers commits as percent of all,Top 15 committers commits as percent of all,Top 20 committers commits as percent of all,Top 25 committers commits as percent of all,Top 30 committers commits as percent of all,Top 50 committers commits as percent of all,Top 100 committers commits as percent of all,Top 200 committers commits as percent of all,Top 500 committers commits as percent of all,Top 1000 committers commits as percent of all
2014,2014-01-01,2015-01-01,10.1%,17.8%,24.3%,32.7%,48.0%,56.4%,62.1%,66.6%,70.1%,81.5%,93.0%,98.2%,100.0%,100.0%
2015,2015-01-01,2016-01-01,5.9%,11.4%,15.2%,19.7%,29.2%,37.7%,45.3%,51.5%,57.2%,75.1%,95.0%,100.0%,100.0%,100.0%
2016,2016-01-01,2017-01-01,2.6%,5.2%,7.6%,12.2%,22.0%,30.5%,37.0%,42.3%,46.7%,60.9%,82.0%,96.1%,100.0%,100.0%
2017,2017-01-01,2018-01-01,5.3%,9.3%,12.1%,17.0%,25.3%,31.7%,36.1%,40.0%,43.7%,55.1%,73.5%,91.3%,100.0%,100.0%
2018,2018-01-01,2018-04-12,10.1%,14.6%,17.8%,23.0%,32.6%,40.2%,45.5%,49.9%,53.5%,64.7%,81.2%,95.5%,100.0%,100.0%
