date_from,date_to,release,n_top_contributing_coms 1,n_top_contributing_coms 2,n_top_contributing_coms 3,n_top_contributing_coms 5,n_top_contributing_coms 10,n_top_contributing_coms 15,n_top_contributing_coms 20,n_top_contributing_coms 25,n_top_contributing_coms 30,n_top_contributing_coms 50,n_top_contributing_coms 100,n_top_contributing_coms 200,n_top_contributing_coms 500,top_contributions_perc 1,top_contributions_perc 2,top_contributions_perc 3,top_contributions_perc 5,top_contributions_perc 10,top_contributions_perc 15,top_contributions_perc 20,top_contributions_perc 25,top_contributions_perc 30,top_contributions_perc 50,top_contributions_perc 100,top_contributions_perc 200,top_contributions_perc 500
2014-01-01T00:00:00Z,2016-03-10T00:00:00Z,Before joining CNCF,1,1,1,2,2,2,3,3,4,6,16,44,149,6.6478098004739699,11.2865988838773794,15.8627016283158780,22.5762556379481691,34.3047167647733354,42.9401421909639936,50.3050225517926764,56.8351043498203501,62.2781132940906659,75.1395153275743445,85.6891674948398440,91.3095329103279566,95.7816680681905053
2016-03-10T00:00:00Z,2018-04-11T11:06:37.231961Z,Since joining CNCF,1,2,3,3,5,5,7,9,9,13,24,41,114,2.4716807631289094,4.7629874394963673,6.5702650539101262,9.3663160234839987,15.1802225118986267,19.9093582320308000,24.0478572366892008,27.7836723557765180,30.9744662362201542,41.1298715733527337,56.6193781765639051,70.1430779956955349,81.0810674265159093
2014-01-01T00:00:00Z,2015-07-11T04:02:31Z,start - v1.0.0,1,1,1,2,2,3,3,5,5,7,20,57,139,9.7925904734658847,16.8988699756830210,22.7006150765269632,31.6464025175225290,47.7127735660134459,57.5025032184236876,63.4730367615505650,68.6139321985409813,72.8107566871692176,82.6863109712487484,91.1085681590616507,95.2024030896867401,98.5266771563438707
2015-07-11T04:02:31Z,2015-09-25T23:41:40Z,v1.0.0 - v1.1.0,1,1,1,1,1,2,3,4,4,9,25,69,149,6.3407649826140315,11.1679280016363264,15.7598690938842299,23.3892411536101452,37.5639190018408673,47.2591532010636122,55.4101043158110043,62.1804049907956637,67.6723256289629781,79.9856821435876457,88.6582123133565146,94.0785436694620577,99.2227449376150542
2015-09-25T23:41:40Z,2016-03-16T22:01:03Z,v1.1.0 - v1.2.0,1,1,1,1,1,2,4,4,4,6,20,46,145,4.5127020785219400,8.0877598152424942,11.3441108545034642,17.2332563510392610,29.9445727482678984,39.5473441108545035,47.1639722863741339,53.3949191685912240,58.6189376443418014,73.3533487297921478,85.8660508083140878,91.7690531177829099,96.6882217090069284
2016-03-16T22:01:03Z,2016-07-01T19:19:06Z,v1.2.0 - v1.3.0,1,1,2,3,4,4,5,6,7,7,23,53,132,3.6247209493596522,7.1201973916108565,10.6039243332158383,16.4786746563271061,27.7111972741158501,36.7583127717072024,43.5553988955469393,49.3185289625190929,54.5470567500881213,67.8886147338738104,80.7073199389025966,88.5031136176712490,94.9829632240629773
2016-07-01T19:19:06Z,2016-09-26T18:09:47Z,v1.3.0 - v1.4.0,1,2,2,2,3,3,3,4,5,9,16,40,122,6.4407211569089635,9.1864687519908263,11.7474676689813340,15.8629037395680703,24.1893355418232783,30.9804421226986048,36.7713575842517679,41.7786838249347009,45.6456647767089253,57.8135949544498949,75.3647193731286233,86.0992546346435625,93.6866917245333503
2016-09-26T18:09:47Z,2016-12-12T23:29:43Z,v1.4.0 - v1.5.0,1,2,3,3,5,5,6,7,8,9,18,41,139,3.4491796404046758,6.5786025056350579,9.4616553965508204,14.0326047072390837,23.2321643864339257,30.4450385280704513,36.5151753420349111,41.5841065156995335,45.9034439377260576,58.3844419982177491,73.9738952665513446,83.9649840121612413,92.3415631388583111
2016-12-12T23:29:43Z,2017-03-28T16:23:06Z,v1.5.0 - v1.6.0,1,2,2,3,6,7,7,7,8,14,22,48,164,4.0058508693195040,7.4864532429108075,9.6439613044779096,13.4171071440444134,21.0631295502144211,27.0037565240517270,31.7642365612845318,35.9994681027891360,39.8191549483062398,51.5208935873142515,68.2756557295302683,79.9574482231308800,89.4584621521890895
2017-03-28T16:23:06Z,2017-06-29T22:53:16Z,v1.6.0 - v1.7.0,1,2,2,3,5,6,7,9,10,14,29,52,155,6.6294266441821248,8.8286958965711074,10.8768971332209106,14.5306351883080382,21.5921866216975829,27.3679033164699269,32.3285553681843732,36.7095278246205734,40.6056773468240585,51.8936200112422709,67.0320404721753794,78.2707982012366498,87.4824339516582350
