Release,Date from,Date to,Distinct companies for top 1 committers,Distinct companies for top 2 committers,Distinct companies for top 3 committers,Distinct companies for top 4 committers,Distinct companies for top 5 committers,Distinct companies for top 10 committers,Distinct companies for top 15 committers,Distinct companies for top 20 committers,Distinct companies for top 25 committers,Distinct companies for top 30 committers,Distinct companies for top 50 committers,Distinct companies for top 100 committers,Distinct companies for top 200 committers,Distinct companies for top 500 committers,Distinct companies for top 1000 committers
06/2014,6/1/2014,7/1/2014,1,1,1,2,2,4,5,7,9,10,16,16,16,16,16
07/2014,7/1/2014,8/1/2014,1,1,2,2,2,2,3,6,6,7,12,15,15,15,15
08/2014,8/1/2014,9/1/2014,1,1,2,2,2,2,2,3,4,4,11,17,17,17,17
09/2014,9/1/2014,10/1/2014,1,1,1,1,2,4,4,4,6,6,8,16,16,16,16
10/2014,10/1/2014,11/1/2014,1,1,1,1,1,2,3,4,5,7,12,19,19,19,19
11/2014,11/1/2014,12/1/2014,1,1,2,2,2,3,3,3,4,6,13,26,26,26,26
12/2014,12/1/2014,1/1/2015,1,1,1,1,1,2,3,4,7,7,13,26,26,26,26
01/2015,1/1/2015,2/1/2015,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3
02/2015,2/1/2015,3/1/2015,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3
03/2015,3/1/2015,4/1/2015,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3
04/2015,4/1/2015,5/1/2015,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3
05/2015,5/1/2015,6/1/2015,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3
06/2015,6/1/2015,7/1/2015,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
07/2015,7/1/2015,8/1/2015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08/2015,8/1/2015,9/1/2015,1,1,1,1,1,2,2,3,5,6,6,6,6,6,6
09/2015,9/1/2015,10/1/2015,1,1,1,1,1,2,3,3,3,4,6,6,6,6,6
10/2015,10/1/2015,11/1/2015,1,2,2,2,2,3,3,3,3,4,6,6,6,6,6
11/2015,11/1/2015,12/1/2015,1,1,1,1,1,2,2,2,2,2,4,4,4,4,4
12/2015,12/1/2015,1/1/2016,1,1,1,1,1,2,2,3,3,4,4,4,4,4,4
01/2016,1/1/2016,2/1/2016,1,1,1,1,1,2,3,3,3,3,4,4,4,4,4
02/2016,2/1/2016,3/1/2016,1,1,1,1,1,2,2,3,3,3,4,4,4,4,4
03/2016,3/1/2016,4/1/2016,1,2,2,2,3,3,3,5,6,6,8,8,8,8,8
04/2016,4/1/2016,5/1/2016,1,2,2,2,2,2,4,4,5,7,8,8,8,8,8
05/2016,5/1/2016,6/1/2016,1,1,2,2,3,4,4,4,4,5,8,8,8,8,8
06/2016,6/1/2016,7/1/2016,1,2,2,3,3,5,5,5,5,5,9,13,13,13,13
07/2016,7/1/2016,8/1/2016,1,2,2,2,2,3,4,6,6,6,10,13,13,13,13
08/2016,8/1/2016,9/1/2016,1,2,2,2,3,3,3,3,4,4,9,13,13,13,13
09/2016,9/1/2016,10/1/2016,1,2,2,2,2,3,4,4,4,6,7,14,14,14,14
10/2016,10/1/2016,11/1/2016,1,2,2,3,3,5,5,5,5,7,10,17,17,17,17
11/2016,11/1/2016,12/1/2016,1,2,2,2,3,4,5,7,7,7,12,20,20,20,20
12/2016,12/1/2016,1/1/2017,1,2,3,4,4,6,6,6,7,9,11,17,18,18,18
01/2017,1/1/2017,2/1/2017,1,2,2,3,4,7,7,8,8,9,10,20,21,21,21
02/2017,2/1/2017,3/1/2017,1,1,2,3,3,6,7,9,9,10,16,25,27,27,27
03/2017,3/1/2017,4/1/2017,1,2,3,3,4,5,7,9,11,12,16,27,30,30,30
04/2017,4/1/2017,5/1/2017,1,1,1,2,3,5,9,11,12,13,19,25,27,27,27
05/2017,5/1/2017,6/1/2017,1,1,1,2,2,4,6,9,10,15,18,26,28,28,28
06/2017,6/1/2017,7/1/2017,1,1,2,2,2,5,5,7,8,9,16,25,29,29,29
07/2017,7/1/2017,8/1/2017,1,1,1,2,3,6,8,11,12,14,17,25,29,29,29
08/2017,8/1/2017,9/1/2017,1,2,2,2,3,4,7,9,11,12,16,28,34,34,34
09/2017,9/1/2017,10/1/2017,1,1,1,2,2,4,6,8,10,11,16,26,28,28,28
10/2017,10/1/2017,11/1/2017,0,1,2,3,4,6,8,10,12,13,17,29,33,33,33
11/2017,11/1/2017,12/1/2017,1,2,3,4,4,6,8,10,11,13,17,29,29,29,29
12/2017,12/1/2017,1/1/2018,1,2,3,4,4,7,9,11,13,13,18,32,36,36,36
01/2018,1/1/2018,2/1/2018,1,2,2,3,4,6,9,12,12,13,17,28,31,31,31
02/2018,2/1/2018,3/1/2018,1,1,2,3,4,7,7,9,10,10,17,30,31,31,31
03/2018,3/1/2018,4/1/2018,1,2,3,3,4,7,10,11,13,15,22,31,31,31,31
04/2018,4/1/2018,5/1/2018,1,1,2,3,4,7,10,11,16,19,22,29,29,29,29
