date_from,date_to,release,days,contributions,pushes,issue_evs,pr_evs,pr_reviews,comment_evs,contributors,committers,issuers,pr_creators,pr_reviewers,commenters,contributing_coms,committing_coms,issuers_coms,pr_creating_coms,pr_reviewing_coms,commenting_coms,contributions_per_day,pushes_per_day,issue_evs_per_day,pr_evs_per_day,pr_reviews_per_day,comment_evs_per_day,top_contributors,top_contributors_coms,n_top_contributing_coms,top_contributions,top_contributions_perc,top_committers,top_committers_coms,n_top_committing_coms,top_commits,top_commits_perc,top_issuers,top_issuers_coms,n_top_issuers_coms,top_issues,top_issues_perc,top_pr_creators,top_pr_creators_coms,n_top_pr_creators_coms,top_prs,top_prs_perc,top_reviewers,top_reviewers_coms,n_top_reviewers_coms,top_reviews,top_reviews_perc,top_commenters,top_commenters_coms,n_top_commenters_coms,top_comments,top_comments_perc
2014-01-01T00:00:00Z,2015-07-11T04:02:31Z,start - v1.0.0,556,34955,13670,7092,14193,25902,62183,915,279,602,525,241,991,232,79,122,198,70,216,62.868705035971225,24.586330935251798,12.755395683453237,25.526978417266186,46.5863309352518,111.83992805755396,"brendandburns,lavalamp",Google,1,5907,16.8988699756830210,"brendandburns,lavalamp",Google,1,2792,20.4242867593269934,"bgrant0607,thockin",Google,1,1024,14.4388042865200226,"brendandburns,lavalamp",Google,1,2365,16.6631438032833087,"lavalamp,thockin",Google,1,5845,22.5658250328159988,"bgrant0607,smarterclayton","Google,Red Hat",2,9977,16.0445781001238281
2015-07-11T04:02:31Z,2015-09-25T23:41:40Z,v1.0.0 - v1.1.0,76,9778,1753,2492,5533,11689,24727,572,42,431,310,209,743,158,7,101,124,61,177,128.6578947368421,23.06578947368421,32.78947368421053,72.80263157894737,153.80263157894737,325.35526315789474,"mikedanese,thockin",Google,1,1092,11.1679280016363264,"mikedanese,thockin",Google,1,284,16.2007986309184256,"goltermann,bgrant0607",Google,1,206,8.2664526484751204,"mikedanese,brendandburns",Google,1,669,12.0910898246882342,"bgrant0607,thockin",Google,1,1912,16.3572589614167166,"bgrant0607,thockin",Google,1,3023,12.2255024871597849
2015-09-25T23:41:40Z,2016-03-16T22:01:03Z,v1.1.0 - v1.2.0,172,21650,3155,7123,11372,26768,64029,1105,76,832,546,316,1417,259,10,155,198,82,278,125.87209302325581,18.343023255813954,41.41279069767442,66.11627906976744,155.62790697674419,372.26162790697674,"bryk,gmarek",Google,1,1751,8.0877598152424942,"bryk,johndmulhausen",Google,1,600,19.0174326465927100,"bgrant0607,ihmccreery",Google,1,566,7.9460901305629650,"bryk,gmarek",Google,1,891,7.8350334154062610,"bgrant0607,lavalamp",Google,1,2664,9.9521817095038852,"bgrant0607,wojtek-t",Google,1,6757,10.5530306579831014
2016-03-16T22:01:03Z,2016-07-01T19:19:06Z,v1.2.0 - v1.3.0,106,17022,2674,6192,8156,19442,45555,1191,81,918,601,345,1482,278,18,181,209,97,305,160.58490566037736,25.22641509433962,58.41509433962264,76.94339622641509,183.41509433962264,429.7641509433962,"johndmulhausen,bryk",Google,1,1212,7.1201973916108565,"johndmulhausen,bryk",Google,1,560,20.9424083769633508,"technosophos,lavalamp","Microsoft,Google",2,391,6.3145994832041344,"eparis,bryk","Red Hat,Google",2,557,6.8293281020107896,"lavalamp,smarterclayton","Google,Red Hat",2,1518,7.8078386997222508,"bgrant0607,lavalamp",Google,1,2957,6.4910547689605971
2016-07-01T19:19:06Z,2016-09-26T18:09:47Z,v1.3.0 - v1.4.0,86,15697,2279,5219,8199,17687,41784,1321,104,1025,625,365,1676,287,16,185,203,95,347,182.52325581395348,26.5,60.68604651162791,95.33720930232558,205.6627906976744,485.86046511627904,"justinsb,pwittrock","FathomDB,Google",2,1442,9.1864687519908263,"justinsb,pwittrock","FathomDB,Google",2,373,16.3668275559455902,"justinsb,bprashanth","FathomDB,Google",2,421,8.0666794405058440,"justinsb,wojtek-t","FathomDB,Google",2,697,8.5010367117941212,"wojtek-t,thockin",Google,1,1349,7.6270707299146266,"thockin,smarterclayton","Google,Red Hat",2,2557,6.1195672984874593
2016-09-26T18:09:47Z,2016-12-12T23:29:43Z,v1.4.0 - v1.5.0,77,19077,3240,6128,9709,15030,48154,1565,130,1177,790,454,2075,376,22,241,275,117,437,247.75324675324674,42.077922077922075,79.58441558441558,126.0909090909091,195.19480519480518,625.3766233766233,"fejta,justinsb","Google,FathomDB",2,1255,6.5786025056350579,"bogdando,devin-donnelly","Mirantis,Google",2,343,10.5864197530864198,"fejta,justinsb","Google,FathomDB",2,538,8.7793733681462141,"justinsb,spxtr","FathomDB,Google",2,584,6.0150375939849624,"liggitt,wojtek-t","Red Hat,Google",2,890,5.9214903526280772,"dims,smarterclayton","Mirantis,Red Hat",2,2367,4.9154795032603730
2016-12-12T23:29:43Z,2017-03-28T16:23:06Z,v1.5.0 - v1.6.0,105,30081,5623,8810,15648,25662,66826,2326,168,1721,1198,656,3092,556,36,336,453,210,611,286.48571428571427,53.55238095238095,83.9047619047619,149.02857142857144,244.4,636.4380952380952,"justinsb,chenopis","FathomDB,Google",2,2252,7.4864532429108075,"chenopis,justinsb","Google,FathomDB",2,721,12.8223368308731994,"justinsb,chrislovecnm","FathomDB,CNM Consulting",2,562,6.3791146424517594,"justinsb,chenopis","FathomDB,Google",2,1136,7.2597137014314928,"liggitt,deads2k",Red Hat,1,1705,6.6440651547034526,"deads2k,liggitt",Red Hat,1,3164,4.7346841049890761
2017-03-28T16:23:06Z,2017-06-29T22:53:16Z,v1.6.0 - v1.7.0,93,28464,5397,8779,14288,27554,70090,2585,157,1915,1302,759,3614,601,33,367,489,247,680,306.06451612903226,58.03225806451613,94.39784946236558,153.63440860215053,296.2795698924731,753.6559139784946,"chenopis,aledbf","Google,Soficom",2,2513,8.8286958965711074,"chenopis,Steve53",Google,1,1262,23.3833611265517880,"thockin,kargakis","Google,Red Hat",2,448,5.1030869119489691,"chenopis,Steve53",Google,1,1138,7.9647256438969765,"liggitt,taotaotheripper",Red Hat,1,1627,5.9047688175945416,"kargakis,liggitt",Red Hat,1,2920,4.1660721928948495
2017-06-29T22:53:16Z,2017-09-28T22:13:57Z,v1.7.0 - v1.8.0,90,31372,5916,8093,17363,32107,77244,2793,182,2047,1422,841,3744,634,39,379,530,268,689,348.5777777777778,65.73333333333333,89.92222222222222,192.92222222222222,356.74444444444447,858.2666666666667,"chenopis,krzyzacy",Google,1,2526,8.0517659059033533,"chenopis,krzyzacy",Google,1,1101,18.6105476673427992,"luxas,floreks","Independent,Fujitsu",2,335,4.1393797108612381,"chenopis,krzyzacy",Google,1,1321,7.6081322352128088,"sttts,luxas","Mesosphere,Independent",2,1995,6.2135982807487464,"zhaoxpZTE,luxas",Independent,1,2984,3.8630832168194293
2017-09-28T22:13:57Z,2017-12-15T20:53:13Z,v1.8.0 - v1.9.0,77,25011,4098,7501,13412,23936,63195,2851,166,2021,1463,817,3881,558,38,308,468,226,631,324.8181818181818,53.22077922077922,97.41558441558442,174.1818181818182,310.85714285714283,820.7142857142857,"aledbf,Steve53",Soficom,1,1462,5.8454280116748631,"Steve53,chenopis",Google,1,522,12.7379209370424597,"chrislovecnm,aledbf","CNM Consulting,Soficom",2,416,5.5459272097053726,"Steve53,aledbf",Soficom,1,754,5.6218311959439308,"liggitt,sttts","Red Hat,Mesosphere",2,1625,6.7889371657754011,"BenTheElder,dims","Google,Huawei",2,3386,5.3580188306036870
