Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
2015,4/5/2015,1/1/2016,90.5%,94.0%,95.0%,96.0%,97.0%,97.5%,97.5%,97.5%,97.5%,97.5%,97.5%,97.5%,97.5%,97.5%,97.5%
2016,1/1/2016,1/1/2017,44.6%,64.2%,69.5%,74.5%,77.5%,85.7%,88.8%,90.2%,91.0%,91.9%,92.1%,92.1%,92.1%,92.1%,92.1%
2017,1/1/2017,1/1/2018,39.3%,62.8%,72.2%,76.4%,78.3%,85.3%,88.6%,90.3%,91.1%,91.8%,91.8%,91.8%,91.8%,91.8%,91.8%
2018,1/1/2018,4/17/2018,54.5%,68.5%,73.4%,78.3%,81.1%,88.1%,88.8%,88.8%,88.8%,88.8%,88.8%,88.8%,88.8%,88.8%,88.8%
