Release,Date from,Date to,Top 1 developers commits as percent of all,Top 2 developers commits as percent of all,Top 3 developers commits as percent of all,Top 4 developers commits as percent of all,Top 5 developers commits as percent of all,Top 10 developers commits as percent of all,Top 15 developers commits as percent of all,Top 20 developers commits as percent of all,Top 25 developers commits as percent of all,Top 30 developers commits as percent of all,Top 50 developers commits as percent of all,Top 100 developers commits as percent of all,Top 200 developers commits as percent of all,Top 500 developers commits as percent of all,Top 1000 developers commits as percent of all
Before joining CNCF,1/2/2014,11/8/2016,32.3%,50.6%,68.6%,74.6%,80.2%,91.2%,95.1%,98.1%,99.3%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%
Since joining CNCF,11/8/2016,4/17/2018,37.8%,72.5%,84.3%,90.4%,93.0%,98.2%,99.4%,99.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
