Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
Before joining CNCF,12/17/2015,3/29/2017,71.7%,75.7%,79.6%,85.4%,89.6%,91.7%,92.9%,93.8%,94.3%,95.0%,95.0%,95.0%,95.0%,95.0%
Since joining CNCF,3/29/2017,4/13/2018,57.5%,69.1%,79.9%,87.3%,91.9%,93.0%,93.5%,93.8%,94.0%,94.3%,94.3%,94.3%,94.3%,94.3%
