Release,Date from,Date to,Top 1 companies commits as percent of all,Top 2 companies commits as percent of all,Top 3 companies commits as percent of all,Top 4 companies commits as percent of all,Top 5 companies commits as percent of all,Top 10 companies commits as percent of all,Top 15 companies commits as percent of all,Top 20 companies commits as percent of all,Top 25 companies commits as percent of all,Top 30 companies commits as percent of all,Top 50 companies commits as percent of all,Top 100 companies commits as percent of all,Top 200 companies commits as percent of all,Top 500 companies commits as percent of all,Top 1000 companies commits as percent of all
Quarter from 10/2015,10/1/2015,1/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2016,1/1/2016,4/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2016,4/1/2016,7/1/2016,63.3%,96.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2016,7/1/2016,10/1/2016,19.2%,38.0%,49.5%,50.5%,51.0%,51.0%,51.0%,51.0%,51.0%,51.0%,51.0%,51.0%,51.0%,51.0%,51.0%
Quarter from 10/2016,10/1/2016,1/1/2017,27.3%,30.3%,31.1%,31.1%,31.1%,31.1%,31.1%,31.1%,31.1%,31.1%,31.1%,31.1%,31.1%,31.1%,31.1%
Quarter from 01/2017,1/1/2017,4/1/2017,46.0%,46.5%,47.0%,47.0%,47.0%,47.0%,47.0%,47.0%,47.0%,47.0%,47.0%,47.0%,47.0%,47.0%,47.0%
Quarter from 04/2017,4/1/2017,7/1/2017,61.6%,62.4%,62.4%,62.4%,62.4%,62.4%,62.4%,62.4%,62.4%,62.4%,62.4%,62.4%,62.4%,62.4%,62.4%
Quarter from 07/2017,7/1/2017,10/1/2017,57.4%,61.0%,61.7%,62.1%,62.3%,62.4%,62.4%,62.4%,62.4%,62.4%,62.4%,62.4%,62.4%,62.4%,62.4%
Quarter from 10/2017,10/1/2017,1/1/2018,57.6%,66.2%,68.8%,70.0%,70.6%,71.0%,71.0%,71.0%,71.0%,71.0%,71.0%,71.0%,71.0%,71.0%,71.0%
Quarter from 01/2018,1/1/2018,4/1/2018,65.8%,69.2%,71.6%,72.1%,72.2%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%
