Release,Date from,Date to,Top 1 companies commits as percent of all,Top 2 companies commits as percent of all,Top 3 companies commits as percent of all,Top 4 companies commits as percent of all,Top 5 companies commits as percent of all,Top 10 companies commits as percent of all,Top 15 companies commits as percent of all,Top 20 companies commits as percent of all,Top 25 companies commits as percent of all,Top 30 companies commits as percent of all,Top 50 companies commits as percent of all,Top 100 companies commits as percent of all,Top 200 companies commits as percent of all,Top 500 companies commits as percent of all,Top 1000 companies commits as percent of all
Quarter from 10/2015,10/1/2015,1/1/2016,72.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2016,1/1/2016,4/1/2016,56.7%,72.4%,86.0%,93.8%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%
Quarter from 04/2016,4/1/2016,7/1/2016,74.3%,92.9%,95.6%,97.3%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%
Quarter from 07/2016,7/1/2016,10/1/2016,67.5%,84.6%,88.9%,92.8%,96.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2016,10/1/2016,1/1/2017,43.4%,53.5%,62.4%,69.9%,76.5%,80.1%,80.1%,80.1%,80.1%,80.1%,80.1%,80.1%,80.1%,80.1%,80.1%
Quarter from 01/2017,1/1/2017,4/1/2017,53.9%,66.4%,78.1%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%
Quarter from 04/2017,4/1/2017,7/1/2017,38.1%,65.3%,74.6%,82.2%,87.3%,88.1%,88.1%,88.1%,88.1%,88.1%,88.1%,88.1%,88.1%,88.1%,88.1%
Quarter from 07/2017,7/1/2017,10/1/2017,40.9%,61.4%,70.5%,77.3%,84.1%,89.8%,89.8%,89.8%,89.8%,89.8%,89.8%,89.8%,89.8%,89.8%,89.8%
Quarter from 10/2017,10/1/2017,1/1/2018,38.7%,57.7%,75.2%,80.3%,81.8%,82.5%,82.5%,82.5%,82.5%,82.5%,82.5%,82.5%,82.5%,82.5%,82.5%
Quarter from 01/2018,1/1/2018,4/1/2018,21.4%,37.5%,52.7%,62.9%,70.5%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%
