Release,Date from,Date to,Distinct companies for top 1 committers,Distinct companies for top 2 committers,Distinct companies for top 3 committers,Distinct companies for top 4 committers,Distinct companies for top 5 committers,Distinct companies for top 10 committers,Distinct companies for top 15 committers,Distinct companies for top 20 committers,Distinct companies for top 25 committers,Distinct companies for top 30 committers,Distinct companies for top 50 committers,Distinct companies for top 100 committers,Distinct companies for top 200 committers,Distinct companies for top 500 committers,Distinct companies for top 1000 committers
2014,6/1/2014,1/1/2015,1,1,1,2,2,2,3,4,4,4,10,28,60,77,77
2015,1/1/2015,1/1/2016,1,1,1,1,1,2,2,2,3,3,5,8,8,8,8
2016,1/1/2016,1/1/2017,1,1,2,3,3,4,5,5,6,6,9,16,31,31,31
2017,1/1/2017,1/1/2018,1,1,2,2,2,6,7,9,10,13,17,29,43,57,57
2018,1/1/2018,4/23/2018,1,2,2,3,4,6,9,11,12,13,20,30,38,38,38
