Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
2015,12/7/2015,1/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2016,1/1/2016,1/1/2017,17.4%,30.9%,40.0%,41.7%,42.8%,46.1%,47.4%,47.9%,48.2%,48.2%,48.2%,48.2%,48.2%,48.2%,48.2%
2017,1/1/2017,1/1/2018,48.0%,52.0%,55.4%,57.8%,59.3%,62.1%,63.2%,63.8%,64.3%,64.7%,65.7%,66.7%,66.8%,66.8%,66.8%
2018,1/1/2018,4/17/2018,60.6%,64.0%,65.7%,66.8%,67.5%,68.8%,69.3%,69.6%,69.8%,70.0%,70.5%,70.5%,70.5%,70.5%,70.5%
