Release,Date from,Date to,Distinct companies for top 1 contributors,Distinct companies for top 2 contributors,Distinct companies for top 3 contributors,Distinct companies for top 5 contributors,Distinct companies for top 10 contributors,Distinct companies for top 15 contributors,Distinct companies for top 20 contributors,Distinct companies for top 25 contributors,Distinct companies for top 30 contributors,Distinct companies for top 50 contributors,Distinct companies for top 100 contributors,Distinct companies for top 200 contributors,Distinct companies for top 500 contributors,Distinct companies for top 1000 contributors
2016-06-17,2016-06-17,2016-07-17,1,1,2,4,8,8,8,8,8,8,8,8,8,8
2016-07-17,2016-07-17,2016-08-17,1,2,2,2,2,2,2,2,2,2,2,2,2,2
2016-08-17,2016-08-17,2016-09-17,1,1,2,3,5,7,7,7,7,7,7,7,7,7
2016-09-17,2016-09-17,2016-10-17,1,1,2,4,4,4,4,4,4,4,4,4,4,4
2016-10-17,2016-10-17,2016-11-17,1,1,2,2,4,4,4,4,4,4,4,4,4,4
2016-11-17,2016-11-17,2016-12-17,1,1,2,3,7,9,9,9,9,9,9,9,9,9
2016-12-17,2016-12-17,2017-01-17,1,1,2,3,6,9,13,13,13,13,13,13,13,13
2017-01-17,2017-01-17,2017-02-17,1,1,1,3,5,7,10,12,13,13,13,13,13,13
2017-02-17,2017-02-17,2017-03-17,1,1,1,2,5,8,10,11,14,14,14,14,14,14
2017-03-17,2017-03-17,2017-04-17,1,1,1,2,6,7,10,13,16,16,16,16,16,16
2017-04-17,2017-04-17,2017-05-17,1,1,1,2,6,10,12,16,18,20,20,20,20,20
2017-05-17,2017-05-17,2017-06-17,1,1,1,2,5,7,11,11,11,11,11,11,11,11
2017-06-17,2017-06-17,2017-07-17,1,1,1,2,5,6,9,11,13,14,14,14,14,14
2017-07-17,2017-07-17,2017-08-17,1,1,1,2,6,9,11,11,12,15,15,15,15,15
2017-08-17,2017-08-17,2017-09-17,1,1,1,2,5,7,9,10,11,13,13,13,13,13
2017-09-17,2017-09-17,2017-10-17,1,2,2,3,6,8,10,12,13,16,16,16,16,16
2017-10-17,2017-10-17,2017-11-17,1,1,2,3,5,7,11,12,13,14,14,14,14,14
2017-11-17,2017-11-17,2017-12-17,1,1,2,3,6,8,10,13,13,13,13,13,13,13
2017-12-17,2017-12-17,2018-01-17,1,2,3,4,7,9,12,13,15,18,18,18,18,18
2018-01-17,2018-01-17,2018-02-17,1,2,2,3,5,6,7,8,10,11,11,11,11,11
2018-02-17,2018-02-17,2018-03-17,1,2,3,3,5,6,8,8,10,12,12,12,12,12
2018-03-17,2018-03-17,2018-04-17,1,2,2,3,6,7,7,8,8,11,11,11,11,11
Quarter from 2015-10,2015-10-01,2016-01-01,1,1,2,4,7,8,8,8,8,8,8,8,8,8
Quarter from 2016-01,2016-01-01,2016-04-01,1,2,2,3,5,6,8,10,10,10,10,10,10,10
Quarter from 2016-04,2016-04-01,2016-07-01,1,1,1,2,7,9,11,13,14,17,17,17,17,17
Quarter from 2016-07,2016-07-01,2016-10-01,1,1,2,4,6,6,9,9,9,9,9,9,9,9
Quarter from 2016-10,2016-10-01,2017-01-01,1,1,2,4,6,8,9,11,16,18,18,18,18,18
Quarter from 2017-01,2017-01-01,2017-04-01,1,1,1,2,6,9,11,11,15,21,22,22,22,22
Quarter from 2017-04,2017-04-01,2017-07-01,1,1,1,2,6,8,10,12,12,22,23,23,23,23
Quarter from 2017-07,2017-07-01,2017-10-01,1,1,1,2,6,8,10,11,13,17,23,23,23,23
Quarter from 2017-10,2017-10-01,2018-01-01,1,1,2,3,6,9,10,13,14,20,21,21,21,21
Quarter from 2018-01,2018-01-01,2018-04-01,1,2,2,3,5,6,8,10,11,14,20,20,20,20
