Release,Date from,Date to,Top 1 developers commits as percent of all,Top 2 developers commits as percent of all,Top 3 developers commits as percent of all,Top 4 developers commits as percent of all,Top 5 developers commits as percent of all,Top 10 developers commits as percent of all,Top 15 developers commits as percent of all,Top 20 developers commits as percent of all,Top 25 developers commits as percent of all,Top 30 developers commits as percent of all,Top 50 developers commits as percent of all,Top 100 developers commits as percent of all,Top 200 developers commits as percent of all,Top 500 developers commits as percent of all,Top 1000 developers commits as percent of all
2014,6/1/2014,1/1/2015,15.5%,25.6%,31.3%,36.9%,42.2%,56.6%,64.3%,69.5%,74.4%,78.6%,89.2%,96.9%,99.3%,100.0%,100.0%
2015,1/1/2015,1/1/2016,6.7%,12.3%,17.6%,22.8%,27.9%,45.2%,59.2%,71.5%,81.0%,88.1%,98.8%,100.0%,100.0%,100.0%,100.0%
2016,1/1/2016,1/1/2017,6.4%,12.0%,16.0%,19.7%,23.0%,34.9%,44.2%,52.4%,59.7%,65.6%,81.8%,96.3%,100.0%,100.0%,100.0%
2017,1/1/2017,1/1/2018,12.6%,16.7%,20.4%,23.7%,25.6%,34.7%,42.3%,48.3%,53.8%,58.6%,72.2%,90.3%,99.3%,100.0%,100.0%
2018,1/1/2018,4/23/2018,6.1%,12.1%,17.9%,22.8%,26.6%,40.8%,49.5%,56.5%,62.5%,67.9%,83.2%,97.0%,100.0%,100.0%,100.0%
