Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
2015,6/22/2015,1/1/2016,91.4%,93.7%,95.8%,97.1%,97.8%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%
2016,1/1/2016,1/1/2017,89.5%,93.4%,94.6%,94.7%,94.9%,95.1%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%
2017,1/1/2017,1/1/2018,62.8%,67.1%,69.3%,71.3%,72.7%,74.7%,74.7%,74.7%,74.7%,74.7%,74.7%,74.7%,74.7%,74.7%,74.7%
2018,1/1/2018,4/17/2018,70.9%,76.8%,78.1%,79.5%,79.5%,79.5%,79.5%,79.5%,79.5%,79.5%,79.5%,79.5%,79.5%,79.5%,79.5%
