Release,Date from,Date to,Distinct companies for top 1 contributors,Distinct companies for top 2 contributors,Distinct companies for top 3 contributors,Distinct companies for top 4 contributors,Distinct companies for top 5 contributors,Distinct companies for top 10 contributors,Distinct companies for top 15 contributors,Distinct companies for top 20 contributors,Distinct companies for top 25 contributors,Distinct companies for top 30 contributors,Distinct companies for top 50 contributors,Distinct companies for top 100 contributors,Distinct companies for top 200 contributors,Distinct companies for top 500 contributors,Distinct companies for top 1000 contributors
2014,11/27/2014,1/1/2015,1,2,2,2,3,6,6,6,8,9,14,15,15,15,15
2015,1/1/2015,1/1/2016,1,2,2,2,2,3,5,6,7,8,14,30,48,48,48
2016,1/1/2016,1/1/2017,1,2,2,2,2,2,4,5,8,11,16,33,46,52,52
2017,1/1/2017,1/1/2018,1,2,2,2,2,2,3,4,4,6,12,21,25,25,25
2018,1/1/2018,4/17/2018,1,2,2,2,2,3,3,3,3,5,6,6,6,6,6
