Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
Quarter from 07/2016,7/1/2016,10/1/2016,71.7%,72.6%,73.1%,73.6%,73.6%,73.6%,73.6%,73.6%,73.6%,73.6%,73.6%,73.6%,73.6%,73.6%,73.6%
Quarter from 10/2016,10/1/2016,1/1/2017,70.6%,72.1%,73.2%,73.3%,73.3%,73.3%,73.3%,73.3%,73.3%,73.3%,73.3%,73.3%,73.3%,73.3%,73.3%
Quarter from 01/2017,1/1/2017,4/1/2017,73.3%,79.6%,80.5%,80.7%,80.9%,80.9%,80.9%,80.9%,80.9%,80.9%,80.9%,80.9%,80.9%,80.9%,80.9%
Quarter from 04/2017,4/1/2017,7/1/2017,67.6%,86.3%,87.0%,87.1%,87.2%,87.2%,87.2%,87.2%,87.2%,87.2%,87.2%,87.2%,87.2%,87.2%,87.2%
Quarter from 07/2017,7/1/2017,10/1/2017,60.4%,83.7%,85.0%,85.9%,86.8%,89.0%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%
Quarter from 10/2017,10/1/2017,1/1/2018,57.5%,81.4%,84.1%,86.2%,87.9%,90.5%,90.9%,91.1%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%
Quarter from 01/2018,1/1/2018,4/1/2018,38.2%,69.3%,73.1%,75.5%,77.8%,80.5%,81.3%,81.6%,81.8%,82.0%,82.0%,82.0%,82.0%,82.0%,82.0%
