Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
2016,11/8/2016,1/1/2017,47.7%,48.2%,48.7%,49.2%,49.4%,49.4%,49.4%,49.4%,49.4%,49.4%,49.4%,49.4%,49.4%,49.4%,49.4%
2017,1/1/2017,1/1/2018,49.9%,55.0%,56.5%,57.1%,57.5%,58.4%,58.8%,59.0%,59.2%,59.2%,59.2%,59.2%,59.2%,59.2%,59.2%
2018,1/1/2018,4/17/2018,47.2%,50.5%,53.8%,55.2%,56.5%,58.9%,59.2%,59.2%,59.2%,59.2%,59.2%,59.2%,59.2%,59.2%,59.2%
