release,date_from,n_top_committing_coms 1,n_top_committing_coms 2,n_top_committing_coms 3,n_top_committing_coms 5,n_top_committing_coms 10,n_top_committing_coms 15,n_top_committing_coms 20,n_top_committing_coms 25,n_top_committing_coms 30,n_top_committing_coms 50,n_top_committing_coms 100,n_top_committing_coms 200,n_top_committing_coms 500,n_top_committing_coms 1000
Before joining CNCF,2015-12-17T00:00:00Z,1,1,1,2,5,6,6,6,6,6,6,6,6,6
Since joining CNCF,2017-03-29T00:00:00Z,1,2,2,3,7,8,8,8,8,8,8,8,8,8
