Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 4 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
Quarter from 10/2015,10/1/2015,1/1/2016,63.4%,92.4%,99.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2016,1/1/2016,4/1/2016,44.2%,60.6%,70.6%,80.6%,88.1%,97.9%,99.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2016,4/1/2016,7/1/2016,43.0%,63.0%,73.9%,78.7%,82.2%,94.8%,97.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2016,7/1/2016,10/1/2016,46.2%,65.8%,73.1%,80.1%,83.4%,93.6%,96.5%,98.2%,99.1%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2016,10/1/2016,1/1/2017,33.5%,47.8%,58.7%,66.7%,72.5%,88.9%,93.4%,95.5%,96.9%,97.9%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2017,1/1/2017,4/1/2017,35.5%,50.3%,59.0%,65.9%,72.5%,84.1%,87.9%,90.8%,93.6%,95.4%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2017,4/1/2017,7/1/2017,28.9%,45.7%,54.1%,59.6%,64.2%,79.9%,86.0%,90.1%,92.6%,94.4%,99.5%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2017,7/1/2017,10/1/2017,27.6%,37.1%,44.1%,50.0%,55.1%,72.1%,80.5%,85.3%,89.0%,91.2%,98.5%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2017,10/1/2017,1/1/2018,21.9%,36.9%,49.3%,58.3%,63.6%,77.8%,82.8%,86.8%,89.4%,92.1%,97.9%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2018,1/1/2018,4/1/2018,15.1%,27.9%,38.2%,47.3%,55.7%,76.7%,81.9%,85.0%,87.3%,88.8%,94.6%,100.0%,100.0%,100.0%,100.0%
