Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 4 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
Quarter from 01/2016,1/1/2016,4/1/2016,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2016,4/1/2016,7/1/2016,97.7%,98.6%,99.0%,99.4%,99.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2016,7/1/2016,10/1/2016,78.6%,84.4%,87.7%,90.7%,93.3%,96.7%,98.6%,99.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2016,10/1/2016,1/1/2017,80.7%,87.0%,91.1%,95.0%,96.2%,98.3%,99.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2017,1/1/2017,4/1/2017,71.8%,86.3%,88.6%,90.2%,91.8%,96.1%,98.0%,99.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2017,4/1/2017,7/1/2017,62.9%,77.9%,86.3%,90.2%,91.0%,93.7%,95.6%,97.0%,98.0%,98.9%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2017,7/1/2017,10/1/2017,80.9%,86.7%,90.8%,93.9%,94.5%,97.0%,98.2%,98.9%,99.4%,99.8%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2017,10/1/2017,1/1/2018,68.9%,78.7%,84.0%,88.0%,88.9%,91.5%,93.3%,94.9%,95.9%,97.0%,99.3%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2018,1/1/2018,4/1/2018,61.3%,77.2%,83.4%,87.8%,90.1%,93.6%,95.3%,96.4%,97.2%,98.0%,99.4%,100.0%,100.0%,100.0%,100.0%
