Release,Date from,Date to,Top 1 companies commits as percent of all,Top 2 companies commits as percent of all,Top 3 companies commits as percent of all,Top 4 companies commits as percent of all,Top 5 companies commits as percent of all,Top 10 companies commits as percent of all,Top 15 companies commits as percent of all,Top 20 companies commits as percent of all,Top 25 companies commits as percent of all,Top 30 companies commits as percent of all,Top 50 companies commits as percent of all,Top 100 companies commits as percent of all,Top 200 companies commits as percent of all,Top 500 companies commits as percent of all,Top 1000 companies commits as percent of all
2014,1/2/2014,1/1/2015,88.6%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%
2015,1/1/2015,1/1/2016,96.8%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%
2016,1/1/2016,1/1/2017,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%
2017,1/1/2017,1/1/2018,84.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2018,1/1/2018,4/17/2018,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%
