Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
Before joining CNCF,1/13/2016,1/23/2017,88.5%,95.0%,96.3%,96.6%,96.8%,97.4%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%
Since joining CNCF,1/23/2017,4/17/2018,76.4%,89.1%,89.7%,90.1%,90.4%,91.3%,91.9%,92.2%,92.5%,92.6%,92.9%,92.9%,92.9%,92.9%,92.9%
