Release,Date from,Date to,Top 1 contributing companies,Top 2 contributing companies,Top 3 contributing companies,Top 4 contributing companies,Top 5 contributing companies,Top 10 contributing companies,Top 15 contributing companies,Top 20 contributing companies,Top 25 contributing companies,Top 30 contributing companies,Top 50 contributing companies,Top 100 contributing companies,Top 200 contributing companies,Top 500 contributing companies,Top 1000 contributing companies
05/2015,5/1/2015,6/1/2015,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU
06/2015,6/1/2015,7/1/2015,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU
07/2015,7/1/2015,8/1/2015,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU
08/2015,8/1/2015,9/1/2015,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU
09/2015,9/1/2015,10/1/2015,,,,,,,,,,,,,,,
10/2015,10/1/2015,11/1/2015,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU
11/2015,11/1/2015,12/1/2015,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU
12/2015,12/1/2015,1/1/2016,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU
01/2016,1/1/2016,2/1/2016,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU
02/2016,2/1/2016,3/1/2016,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU
03/2016,3/1/2016,4/1/2016,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU
04/2016,4/1/2016,5/1/2016,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU
05/2016,5/1/2016,6/1/2016,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU
06/2016,6/1/2016,7/1/2016,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU,NYU
07/2016,7/1/2016,8/1/2016,NYU,"NYU,Red Hat","NYU,Red Hat","NYU,Red Hat","NYU,Red Hat","NYU,Red Hat","NYU,Red Hat","NYU,Red Hat","NYU,Red Hat","NYU,Red Hat","NYU,Red Hat","NYU,Red Hat","NYU,Red Hat","NYU,Red Hat","NYU,Red Hat"
08/2016,8/1/2016,9/1/2016,NYU,"NYU,Red Hat","NYU,Red Hat","NYU,Red Hat","NYU,Red Hat","NYU,Red Hat","NYU,Red Hat","NYU,Red Hat","NYU,Red Hat","NYU,Red Hat","NYU,Red Hat","NYU,Red Hat","NYU,Red Hat","NYU,Red Hat","NYU,Red Hat"
