Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
2016,1/13/2016,1/1/2017,88.8%,95.1%,96.4%,96.7%,96.9%,97.5%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%
2017,1/1/2017,1/1/2018,77.9%,90.7%,91.2%,91.6%,91.9%,92.7%,93.2%,93.5%,93.7%,93.8%,94.0%,94.0%,94.0%,94.0%,94.0%
2018,1/1/2018,4/17/2018,68.9%,78.3%,80.6%,82.3%,83.5%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%
