Release,Date from,Date to,Top 1 developers commits as percent of all,Top 2 developers commits as percent of all,Top 3 developers commits as percent of all,Top 4 developers commits as percent of all,Top 5 developers commits as percent of all,Top 10 developers commits as percent of all,Top 15 developers commits as percent of all,Top 20 developers commits as percent of all,Top 25 developers commits as percent of all,Top 30 developers commits as percent of all,Top 50 developers commits as percent of all,Top 100 developers commits as percent of all,Top 200 developers commits as percent of all,Top 500 developers commits as percent of all,Top 1000 developers commits as percent of all
2014,1/1/2014,1/1/2015,10.2%,17.9%,24.5%,29.2%,32.9%,48.3%,56.8%,62.5%,67.1%,70.6%,81.8%,93.1%,98.2%,100.0%,100.0%
2015,1/1/2015,1/1/2016,5.9%,11.4%,15.2%,17.6%,19.7%,29.2%,37.7%,45.3%,51.5%,57.2%,75.1%,95.0%,100.0%,100.0%,100.0%
2016,1/1/2016,1/1/2017,2.6%,5.2%,7.6%,10.0%,12.2%,22.0%,30.5%,37.0%,42.3%,46.7%,60.9%,82.0%,96.1%,100.0%,100.0%
2017,1/1/2017,1/1/2018,5.3%,9.3%,12.1%,14.7%,17.0%,25.3%,31.7%,36.1%,40.0%,43.7%,55.1%,73.5%,91.3%,100.0%,100.0%
2018,1/1/2018,4/13/2018,10.1%,14.6%,17.8%,20.6%,22.9%,32.6%,40.1%,45.4%,49.8%,53.3%,64.5%,81.1%,95.4%,100.0%,100.0%
