Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
Quarter from 04/2015,4/1/2015,7/1/2015,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2015,7/1/2015,10/1/2015,87.3%,92.2%,94.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%
Quarter from 10/2015,10/1/2015,1/1/2016,84.6%,89.7%,94.9%,97.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2016,1/1/2016,4/1/2016,50.3%,68.0%,77.1%,81.1%,84.0%,92.0%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%
Quarter from 04/2016,4/1/2016,7/1/2016,58.3%,69.9%,75.0%,78.7%,82.4%,88.4%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%
Quarter from 07/2016,7/1/2016,10/1/2016,32.2%,54.0%,71.3%,75.9%,80.5%,90.8%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%
Quarter from 10/2016,10/1/2016,1/1/2017,42.7%,68.0%,72.8%,74.8%,76.7%,83.5%,88.3%,89.3%,89.3%,89.3%,89.3%,89.3%,89.3%,89.3%,89.3%
Quarter from 01/2017,1/1/2017,4/1/2017,25.9%,48.1%,69.0%,73.4%,75.9%,86.1%,91.1%,92.4%,92.4%,92.4%,92.4%,92.4%,92.4%,92.4%,92.4%
Quarter from 04/2017,4/1/2017,7/1/2017,43.0%,66.3%,71.7%,76.4%,79.8%,89.1%,92.6%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%
Quarter from 07/2017,7/1/2017,10/1/2017,50.8%,70.9%,78.4%,83.4%,84.9%,89.9%,92.5%,92.5%,92.5%,92.5%,92.5%,92.5%,92.5%,92.5%,92.5%
Quarter from 10/2017,10/1/2017,1/1/2018,36.2%,68.6%,73.3%,77.1%,80.0%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%
Quarter from 01/2018,1/1/2018,4/1/2018,53.3%,69.7%,74.6%,79.5%,82.8%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%
Quarter from 04/2018,4/1/2018,7/1/2018,61.9%,81.0%,85.7%,90.5%,95.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
