Release,Date from,Date to,Top 1 contributing companies,Top 2 contributing companies,Top 3 contributing companies,Top 4 contributing companies,Top 5 contributing companies,Top 10 contributing companies,Top 15 contributing companies,Top 20 contributing companies,Top 25 contributing companies,Top 30 contributing companies,Top 50 contributing companies,Top 100 contributing companies,Top 200 contributing companies,Top 500 contributing companies,Top 1000 contributing companies
08/2015,8/1/2015,9/1/2015,Red Hat,"Red Hat,Metaswitch","Red Hat,Metaswitch","Red Hat,Metaswitch","Red Hat,Metaswitch","Red Hat,Metaswitch","Red Hat,Metaswitch","Red Hat,Metaswitch","Red Hat,Metaswitch","Red Hat,Metaswitch","Red Hat,Metaswitch","Red Hat,Metaswitch","Red Hat,Metaswitch","Red Hat,Metaswitch","Red Hat,Metaswitch"
09/2015,9/1/2015,10/1/2015,Red Hat,"Red Hat,Weaveworks","Red Hat,Weaveworks","Red Hat,Weaveworks","Red Hat,Weaveworks","Red Hat,Weaveworks","Red Hat,Weaveworks","Red Hat,Weaveworks","Red Hat,Weaveworks","Red Hat,Weaveworks","Red Hat,Weaveworks","Red Hat,Weaveworks","Red Hat,Weaveworks","Red Hat,Weaveworks","Red Hat,Weaveworks"
10/2015,10/1/2015,11/1/2015,Red Hat,"Red Hat,Weaveworks","Red Hat,Weaveworks,Intel","Red Hat,Weaveworks,Intel,Metaswitch","Red Hat,Weaveworks,Intel,Metaswitch","Red Hat,Weaveworks,Intel,Metaswitch","Red Hat,Weaveworks,Intel,Metaswitch","Red Hat,Weaveworks,Intel,Metaswitch","Red Hat,Weaveworks,Intel,Metaswitch","Red Hat,Weaveworks,Intel,Metaswitch","Red Hat,Weaveworks,Intel,Metaswitch","Red Hat,Weaveworks,Intel,Metaswitch","Red Hat,Weaveworks,Intel,Metaswitch","Red Hat,Weaveworks,Intel,Metaswitch","Red Hat,Weaveworks,Intel,Metaswitch"
11/2015,11/1/2015,12/1/2015,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat
12/2015,12/1/2015,1/1/2016,Red Hat,"Red Hat,Google","Red Hat,Google","Red Hat,Google","Red Hat,Google","Red Hat,Google","Red Hat,Google","Red Hat,Google","Red Hat,Google","Red Hat,Google","Red Hat,Google","Red Hat,Google","Red Hat,Google","Red Hat,Google","Red Hat,Google"
01/2016,1/1/2016,2/1/2016,Red Hat,"Red Hat,Cisco","Red Hat,Cisco,Pivotal","Red Hat,Cisco,Pivotal,Huawei","Red Hat,Cisco,Pivotal,Huawei,Metaswitch","Red Hat,Cisco,Pivotal,Huawei,Metaswitch,Apcera,Kinvolk","Red Hat,Cisco,Pivotal,Huawei,Metaswitch,Apcera,Kinvolk","Red Hat,Cisco,Pivotal,Huawei,Metaswitch,Apcera,Kinvolk","Red Hat,Cisco,Pivotal,Huawei,Metaswitch,Apcera,Kinvolk","Red Hat,Cisco,Pivotal,Huawei,Metaswitch,Apcera,Kinvolk","Red Hat,Cisco,Pivotal,Huawei,Metaswitch,Apcera,Kinvolk","Red Hat,Cisco,Pivotal,Huawei,Metaswitch,Apcera,Kinvolk","Red Hat,Cisco,Pivotal,Huawei,Metaswitch,Apcera,Kinvolk","Red Hat,Cisco,Pivotal,Huawei,Metaswitch,Apcera,Kinvolk","Red Hat,Cisco,Pivotal,Huawei,Metaswitch,Apcera,Kinvolk"
02/2016,2/1/2016,3/1/2016,Red Hat,"Red Hat,EMC","Red Hat,EMC,Huawei","Red Hat,EMC,Huawei,Pivotal","Red Hat,EMC,Huawei,Pivotal,Metaswitch","Red Hat,EMC,Huawei,Pivotal,Metaswitch,Mesosphere,Kinvolk,Cisco","Red Hat,EMC,Huawei,Pivotal,Metaswitch,Mesosphere,Kinvolk,Cisco","Red Hat,EMC,Huawei,Pivotal,Metaswitch,Mesosphere,Kinvolk,Cisco","Red Hat,EMC,Huawei,Pivotal,Metaswitch,Mesosphere,Kinvolk,Cisco","Red Hat,EMC,Huawei,Pivotal,Metaswitch,Mesosphere,Kinvolk,Cisco","Red Hat,EMC,Huawei,Pivotal,Metaswitch,Mesosphere,Kinvolk,Cisco","Red Hat,EMC,Huawei,Pivotal,Metaswitch,Mesosphere,Kinvolk,Cisco","Red Hat,EMC,Huawei,Pivotal,Metaswitch,Mesosphere,Kinvolk,Cisco","Red Hat,EMC,Huawei,Pivotal,Metaswitch,Mesosphere,Kinvolk,Cisco","Red Hat,EMC,Huawei,Pivotal,Metaswitch,Mesosphere,Kinvolk,Cisco"
03/2016,3/1/2016,4/1/2016,Red Hat,"Red Hat,Pivotal","Red Hat,Pivotal,EMC","Red Hat,Pivotal,EMC,Weaveworks","Red Hat,Pivotal,EMC,Weaveworks,Google","Red Hat,Pivotal,EMC,Weaveworks,Google,Microsoft,Metaswitch,Intel,Debian","Red Hat,Pivotal,EMC,Weaveworks,Google,Microsoft,Metaswitch,Intel,Debian","Red Hat,Pivotal,EMC,Weaveworks,Google,Microsoft,Metaswitch,Intel,Debian","Red Hat,Pivotal,EMC,Weaveworks,Google,Microsoft,Metaswitch,Intel,Debian","Red Hat,Pivotal,EMC,Weaveworks,Google,Microsoft,Metaswitch,Intel,Debian","Red Hat,Pivotal,EMC,Weaveworks,Google,Microsoft,Metaswitch,Intel,Debian","Red Hat,Pivotal,EMC,Weaveworks,Google,Microsoft,Metaswitch,Intel,Debian","Red Hat,Pivotal,EMC,Weaveworks,Google,Microsoft,Metaswitch,Intel,Debian","Red Hat,Pivotal,EMC,Weaveworks,Google,Microsoft,Metaswitch,Intel,Debian","Red Hat,Pivotal,EMC,Weaveworks,Google,Microsoft,Metaswitch,Intel,Debian"
04/2016,4/1/2016,5/1/2016,Red Hat,"Red Hat,Pivotal","Red Hat,Pivotal,Weaveworks","Red Hat,Pivotal,Weaveworks,Google","Red Hat,Pivotal,Weaveworks,Google,Mesosphere","Red Hat,Pivotal,Weaveworks,Google,Mesosphere,Metaswitch","Red Hat,Pivotal,Weaveworks,Google,Mesosphere,Metaswitch","Red Hat,Pivotal,Weaveworks,Google,Mesosphere,Metaswitch","Red Hat,Pivotal,Weaveworks,Google,Mesosphere,Metaswitch","Red Hat,Pivotal,Weaveworks,Google,Mesosphere,Metaswitch","Red Hat,Pivotal,Weaveworks,Google,Mesosphere,Metaswitch","Red Hat,Pivotal,Weaveworks,Google,Mesosphere,Metaswitch","Red Hat,Pivotal,Weaveworks,Google,Mesosphere,Metaswitch","Red Hat,Pivotal,Weaveworks,Google,Mesosphere,Metaswitch","Red Hat,Pivotal,Weaveworks,Google,Mesosphere,Metaswitch"
05/2016,5/1/2016,6/1/2016,Red Hat,"Red Hat,Weaveworks","Red Hat,Weaveworks,Google","Red Hat,Weaveworks,Google,Pivotal","Red Hat,Weaveworks,Google,Pivotal,Cisco","Red Hat,Weaveworks,Google,Pivotal,Cisco,Bulletproof,Mesosphere,Fujitsu,Kinvolk","Red Hat,Weaveworks,Google,Pivotal,Cisco,Bulletproof,Mesosphere,Fujitsu,Kinvolk","Red Hat,Weaveworks,Google,Pivotal,Cisco,Bulletproof,Mesosphere,Fujitsu,Kinvolk","Red Hat,Weaveworks,Google,Pivotal,Cisco,Bulletproof,Mesosphere,Fujitsu,Kinvolk","Red Hat,Weaveworks,Google,Pivotal,Cisco,Bulletproof,Mesosphere,Fujitsu,Kinvolk","Red Hat,Weaveworks,Google,Pivotal,Cisco,Bulletproof,Mesosphere,Fujitsu,Kinvolk","Red Hat,Weaveworks,Google,Pivotal,Cisco,Bulletproof,Mesosphere,Fujitsu,Kinvolk","Red Hat,Weaveworks,Google,Pivotal,Cisco,Bulletproof,Mesosphere,Fujitsu,Kinvolk","Red Hat,Weaveworks,Google,Pivotal,Cisco,Bulletproof,Mesosphere,Fujitsu,Kinvolk","Red Hat,Weaveworks,Google,Pivotal,Cisco,Bulletproof,Mesosphere,Fujitsu,Kinvolk"
