Release,Date from,Date to,Top 1 committing companies,Top 2 committing companies,Top 3 committing companies,Top 4 committing companies,Top 5 committing companies,Top 10 committing companies,Top 15 committing companies,Top 20 committing companies,Top 25 committing companies,Top 30 committing companies,Top 50 committing companies,Top 100 committing companies,Top 200 committing companies,Top 500 committing companies,Top 1000 committing companies
Before joining CNCF,6/22/2015,10/24/2017,Docker,"Docker,Huawei","Docker,Huawei,Facebook","Docker,Huawei,Facebook,Red Hat","Docker,Huawei,Facebook,Red Hat","Docker,Huawei,Facebook,Red Hat","Docker,Huawei,Facebook,Red Hat","Docker,Huawei,Facebook,Red Hat","Docker,Huawei,Facebook,Red Hat","Docker,Huawei,Facebook,Red Hat","Docker,Huawei,Facebook,Red Hat","Docker,Huawei,Facebook,Red Hat","Docker,Huawei,Facebook,Red Hat","Docker,Huawei,Facebook,Red Hat","Docker,Huawei,Facebook,Red Hat"
Since joining CNCF,10/24/2017,4/17/2018,Docker,"Docker,Huawei","Docker,Huawei","Docker,Huawei","Docker,Huawei","Docker,Huawei","Docker,Huawei","Docker,Huawei","Docker,Huawei","Docker,Huawei","Docker,Huawei","Docker,Huawei","Docker,Huawei","Docker,Huawei","Docker,Huawei"
