Release,Date from,Date to,Top 1 developers commits as percent of all,Top 2 developers commits as percent of all,Top 3 developers commits as percent of all,Top 4 developers commits as percent of all,Top 5 developers commits as percent of all,Top 10 developers commits as percent of all,Top 15 developers commits as percent of all,Top 20 developers commits as percent of all,Top 25 developers commits as percent of all,Top 30 developers commits as percent of all,Top 50 developers commits as percent of all,Top 100 developers commits as percent of all,Top 200 developers commits as percent of all,Top 500 developers commits as percent of all,Top 1000 developers commits as percent of all
2015,2/23/2015,1/1/2016,10.5%,20.9%,29.9%,37.9%,45.6%,71.2%,86.7%,94.5%,98.2%,99.6%,100.0%,100.0%,100.0%,100.0%,100.0%
2016,1/1/2016,1/1/2017,20.1%,29.6%,37.6%,44.3%,50.0%,69.2%,79.5%,86.2%,91.1%,94.5%,100.0%,100.0%,100.0%,100.0%,100.0%
2017,1/1/2017,1/1/2018,8.1%,14.6%,21.1%,26.5%,31.5%,49.8%,64.6%,76.8%,86.5%,93.5%,99.7%,100.0%,100.0%,100.0%,100.0%
2018,1/1/2018,4/17/2018,7.5%,14.9%,21.7%,28.1%,33.9%,55.3%,69.2%,80.5%,88.0%,93.0%,100.0%,100.0%,100.0%,100.0%,100.0%
