Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
Before joining CNCF,6/1/2014,3/10/2016,68.6%,81.4%,82.8%,83.9%,85.0%,87.8%,89.0%,89.8%,90.2%,90.6%,91.5%,92.5%,93.4%,94.0%,94.0%
Since joining CNCF,3/10/2016,4/13/2018,33.8%,46.4%,50.9%,53.2%,55.3%,63.1%,66.8%,69.1%,70.9%,72.2%,74.9%,77.2%,78.9%,80.8%,81.9%
