Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
2015,2/23/2015,1/1/2016,89.5%,89.6%,89.7%,89.8%,89.9%,90.2%,90.3%,90.5%,90.6%,90.7%,90.8%,91.0%,91.0%,91.0%,91.0%
2016,1/1/2016,1/1/2017,83.0%,83.8%,84.1%,84.3%,84.6%,85.1%,85.4%,85.6%,85.8%,85.9%,86.2%,86.6%,86.6%,86.6%,86.6%
2017,1/1/2017,1/1/2018,85.9%,86.2%,86.4%,86.4%,86.5%,86.8%,87.0%,87.1%,87.3%,87.4%,87.7%,88.1%,88.3%,88.3%,88.3%
2018,1/1/2018,4/17/2018,82.4%,82.7%,82.9%,83.0%,83.1%,83.6%,83.8%,83.9%,84.0%,84.1%,84.2%,84.2%,84.2%,84.2%,84.2%
