Release,Date from,Date to,Top 1 companies commits as percent of all,Top 2 companies commits as percent of all,Top 3 companies commits as percent of all,Top 4 companies commits as percent of all,Top 5 companies commits as percent of all,Top 10 companies commits as percent of all,Top 15 companies commits as percent of all,Top 20 companies commits as percent of all,Top 25 companies commits as percent of all,Top 30 companies commits as percent of all,Top 50 companies commits as percent of all,Top 100 companies commits as percent of all,Top 200 companies commits as percent of all,Top 500 companies commits as percent of all,Top 1000 companies commits as percent of all
Before joining CNCF,1/2/2014,2/5/2018,54.4%,96.1%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%
Since joining CNCF,2/5/2018,4/17/2018,39.9%,64.9%,86.5%,89.9%,89.9%,89.9%,89.9%,89.9%,89.9%,89.9%,89.9%,89.9%,89.9%,89.9%,89.9%
2014,1/2/2014,1/1/2015,64.7%,95.4%,95.6%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%
2015,1/1/2015,1/1/2016,50.1%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%
2016,1/1/2016,1/1/2017,54.9%,88.8%,88.8%,88.8%,88.8%,88.8%,88.8%,88.8%,88.8%,88.8%,88.8%,88.8%,88.8%,88.8%,88.8%
2017,1/1/2017,1/1/2018,65.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2018,1/1/2018,4/17/2018,50.7%,74.9%,90.3%,92.8%,92.8%,92.8%,92.8%,92.8%,92.8%,92.8%,92.8%,92.8%,92.8%,92.8%,92.8%
01/2014,1/1/2014,2/1/2014,94.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2014,2/1/2014,3/1/2014,89.3%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%
03/2014,3/1/2014,4/1/2014,89.1%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%
