Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
Quarter from 01/2015,1/1/2015,4/1/2015,85.1%,85.5%,86.0%,86.3%,86.6%,87.0%,87.4%,87.6%,87.6%,87.6%,87.6%,87.6%,87.6%,87.6%,87.6%
Quarter from 04/2015,4/1/2015,7/1/2015,90.2%,90.5%,90.7%,90.9%,91.1%,91.7%,91.9%,92.0%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%
Quarter from 07/2015,7/1/2015,10/1/2015,91.7%,91.9%,92.0%,92.1%,92.2%,92.4%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%
Quarter from 10/2015,10/1/2015,1/1/2016,87.2%,87.3%,87.4%,87.5%,87.5%,87.8%,88.0%,88.1%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%
Quarter from 01/2016,1/1/2016,4/1/2016,85.1%,85.5%,85.8%,86.0%,86.2%,86.9%,87.1%,87.3%,87.4%,87.5%,87.6%,87.6%,87.6%,87.6%,87.6%
Quarter from 04/2016,4/1/2016,7/1/2016,84.9%,85.7%,86.0%,86.2%,86.3%,86.9%,87.2%,87.4%,87.6%,87.8%,88.0%,88.0%,88.0%,88.0%,88.0%
Quarter from 07/2016,7/1/2016,10/1/2016,80.3%,82.3%,82.9%,83.5%,83.7%,84.4%,84.9%,85.2%,85.5%,85.6%,86.1%,86.1%,86.1%,86.1%,86.1%
Quarter from 10/2016,10/1/2016,1/1/2017,80.7%,81.3%,81.5%,81.8%,82.0%,82.7%,83.2%,83.5%,83.6%,83.8%,84.1%,84.1%,84.1%,84.1%,84.1%
Quarter from 01/2017,1/1/2017,4/1/2017,85.8%,86.1%,86.2%,86.4%,86.5%,87.0%,87.3%,87.6%,87.7%,87.8%,88.1%,88.1%,88.1%,88.1%,88.1%
Quarter from 04/2017,4/1/2017,7/1/2017,85.8%,86.4%,86.5%,86.6%,86.7%,87.1%,87.5%,87.7%,87.8%,87.9%,88.4%,88.4%,88.4%,88.4%,88.4%
Quarter from 07/2017,7/1/2017,10/1/2017,85.3%,85.5%,85.6%,85.7%,85.8%,86.2%,86.5%,86.7%,86.9%,87.0%,87.5%,87.5%,87.5%,87.5%,87.5%
Quarter from 10/2017,10/1/2017,1/1/2018,86.8%,87.1%,87.3%,87.4%,87.5%,87.9%,88.1%,88.3%,88.5%,88.6%,89.1%,89.1%,89.1%,89.1%,89.1%
Quarter from 01/2018,1/1/2018,4/1/2018,82.3%,82.6%,82.7%,82.9%,83.0%,83.5%,83.7%,83.9%,84.0%,84.1%,84.2%,84.2%,84.2%,84.2%,84.2%
