Release,Date from,Date to,Top 1 committing companies,Top 2 committing companies,Top 3 committing companies,Top 4 committing companies,Top 5 committing companies,Top 10 committing companies,Top 15 committing companies,Top 20 committing companies,Top 25 committing companies,Top 30 committing companies,Top 50 committing companies,Top 100 committing companies,Top 200 committing companies,Top 500 committing companies,Top 1000 committing companies
Before joining CNCF,12/27/2015,3/29/2018,Styra,"Styra,Google","Styra,Google","Styra,Google","Styra,Google","Styra,Google","Styra,Google","Styra,Google","Styra,Google","Styra,Google","Styra,Google","Styra,Google","Styra,Google","Styra,Google","Styra,Google"
Since joining CNCF,3/29/2018,4/17/2018,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra,Styra
