Release,Date from,Date to,Top 1 companies commits as percent of all,Top 2 companies commits as percent of all,Top 3 companies commits as percent of all,Top 5 companies commits as percent of all,Top 10 companies commits as percent of all,Top 15 companies commits as percent of all,Top 20 companies commits as percent of all,Top 25 companies commits as percent of all,Top 30 companies commits as percent of all,Top 50 companies commits as percent of all,Top 100 companies commits as percent of all,Top 200 companies commits as percent of all,Top 500 companies commits as percent of all,Top 1000 companies commits as percent of all
Before joining CNCF,1/1/2014,3/10/2016,49.3%,58.1%,66.6%,79.9%,89.1%,92.3%,94.0%,94.8%,95.3%,96.4%,97.0%,97.1%,97.1%,97.1%
Since joining CNCF,3/10/2016,4/13/2018,31.0%,38.2%,43.4%,52.9%,68.5%,75.4%,79.8%,82.6%,84.6%,89.7%,91.9%,91.9%,91.9%,91.9%
