Release,Date from,Date to,Top 1 companies commits as percent of all,Top 2 companies commits as percent of all,Top 3 companies commits as percent of all,Top 4 companies commits as percent of all,Top 5 companies commits as percent of all,Top 10 companies commits as percent of all,Top 15 companies commits as percent of all,Top 20 companies commits as percent of all,Top 25 companies commits as percent of all,Top 30 companies commits as percent of all,Top 50 companies commits as percent of all,Top 100 companies commits as percent of all,Top 200 companies commits as percent of all,Top 500 companies commits as percent of all,Top 1000 companies commits as percent of all
Before joining CNCF,1/6/2014,5/9/2016,64.7%,74.6%,82.4%,87.6%,90.8%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%
Since joining CNCF,5/9/2016,4/13/2018,29.2%,51.2%,71.2%,78.5%,83.7%,97.8%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%
start - v0.10.0,1/6/2014,1/26/2015,71.6%,76.1%,77.0%,77.8%,78.0%,78.0%,78.0%,78.0%,78.0%,78.0%,78.0%,78.0%,78.0%,78.0%,78.0%
v0.10.0 - v0.20.0,1/26/2015,6/15/2016,61.6%,73.1%,82.0%,88.0%,90.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v0.20.0 - v1.0.0,6/15/2016,7/18/2016,47.5%,66.2%,82.8%,89.2%,94.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.0.0 - v1.1.0,7/18/2016,9/3/2016,42.3%,64.8%,80.6%,91.3%,97.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.1.0 - v1.2.0,9/3/2016,10/7/2016,25.5%,47.1%,64.7%,78.4%,90.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.2.0 - v1.3.0,10/7/2016,11/1/2016,45.9%,74.6%,87.6%,95.2%,97.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.3.0 - v1.4.0,11/1/2016,11/25/2016,35.9%,66.3%,84.2%,96.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.4.0 - v1.5.0,11/25/2016,1/23/2017,28.8%,49.8%,69.9%,83.2%,95.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
