Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
2015,11/26/2015,1/1/2016,63.4%,92.4%,99.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2016,1/1/2016,1/1/2017,52.7%,70.1%,76.3%,80.3%,83.6%,89.7%,91.0%,91.5%,91.8%,92.0%,92.3%,92.3%,92.3%,92.3%,92.3%
2017,1/1/2017,1/1/2018,21.5%,39.7%,49.2%,56.7%,62.0%,72.4%,74.4%,75.6%,76.3%,76.7%,77.7%,77.7%,77.7%,77.7%,77.7%
2018,1/1/2018,4/17/2018,13.6%,25.9%,36.7%,46.7%,53.1%,60.4%,61.5%,62.1%,62.5%,62.5%,62.5%,62.5%,62.5%,62.5%,62.5%
