Release,Date from,Date to,Distinct companies for top 1 contributors,Distinct companies for top 2 contributors,Distinct companies for top 3 contributors,Distinct companies for top 4 contributors,Distinct companies for top 5 contributors,Distinct companies for top 10 contributors,Distinct companies for top 15 contributors,Distinct companies for top 20 contributors,Distinct companies for top 25 contributors,Distinct companies for top 30 contributors,Distinct companies for top 50 contributors,Distinct companies for top 100 contributors,Distinct companies for top 200 contributors,Distinct companies for top 500 contributors,Distinct companies for top 1000 contributors
Quarter from 01/2015,1/1/2015,4/1/2015,1,1,1,1,1,1,1,1,1,3,6,14,18,18,18
Quarter from 04/2015,4/1/2015,7/1/2015,1,1,1,1,1,1,1,1,1,2,10,16,23,23,23
Quarter from 07/2015,7/1/2015,10/1/2015,1,1,1,1,1,1,1,1,1,1,6,13,18,18,18
Quarter from 10/2015,10/1/2015,1/1/2016,1,1,1,1,1,1,1,1,1,1,2,12,26,26,26
Quarter from 01/2016,1/1/2016,4/1/2016,1,1,1,1,1,1,1,1,1,2,7,10,25,35,35
Quarter from 04/2016,4/1/2016,7/1/2016,1,1,1,1,1,1,1,1,2,2,7,14,26,39,39
Quarter from 07/2016,7/1/2016,10/1/2016,1,1,1,1,1,1,2,2,2,2,5,17,26,50,50
Quarter from 10/2016,10/1/2016,1/1/2017,1,1,1,1,1,1,1,1,1,2,7,15,21,41,41
Quarter from 01/2017,1/1/2017,4/1/2017,1,1,1,1,1,1,1,1,1,1,4,13,22,42,42
Quarter from 04/2017,4/1/2017,7/1/2017,1,1,1,1,1,1,1,1,1,1,3,11,24,53,53
Quarter from 07/2017,7/1/2017,10/1/2017,1,1,1,1,1,1,1,1,1,1,2,10,29,50,50
Quarter from 10/2017,10/1/2017,1/1/2018,1,1,1,1,1,1,1,1,1,1,5,14,28,51,51
Quarter from 01/2018,1/1/2018,4/1/2018,1,1,1,1,1,1,1,1,1,1,3,10,17,34,34
